Scenario,L_cell,mu_on,rho,RA_RU,Base_MeanDelay,v3_MeanDelay,Improve_MeanDelay,Base_P90,v3_P90,Improve_P90,Base_Coll,v3_Coll,Improve_Coll,Base_ExplR,v3_ExplR,Improve_ExplBSR,Base_Throughput,v3_Throughput,Improve_Throughput
1,0.1,0.01,0.3,1,70.29,67.05,4.61,160.46,154.40,3.78,0.3203,0.3108,2.97,28.49,28.88,-1.82,5.26,5.25,-0.12
2,0.1,0.01,0.7,1,85.54,83.40,2.51,198.82,193.56,2.64,0.3710,0.3704,0.16,29.63,29.52,0.39,5.25,5.25,0.15
3,0.1,0.05,0.3,1,61.64,62.33,-1.13,142.31,144.56,-1.58,0.2810,0.2799,0.39,26.59,26.45,0.73,5.43,5.42,-0.02
4,0.1,0.05,0.7,1,82.64,83.65,-1.23,190.44,191.86,-0.75,0.3708,0.3711,-0.09,28.77,28.75,0.04,5.34,5.34,0.05
5,0.1,0.10,0.3,1,56.15,54.11,3.64,129.74,123.49,4.82,0.2491,0.2403,3.54,25.17,25.23,-0.51,5.54,5.56,0.20
6,0.1,0.10,0.7,1,79.37,77.77,2.01,184.76,180.08,2.54,0.3518,0.3485,0.95,29.10,29.39,-1.08,5.28,5.26,-0.32
7,0.3,0.01,0.3,1,106.10,96.87,8.70,246.50,224.52,8.92,0.4391,0.4229,3.71,11.95,12.23,-2.54,16.05,16.02,-0.18
8,0.3,0.01,0.7,1,125.06,121.76,2.64,290.25,278.55,4.03,0.4857,0.4795,1.28,12.16,12.22,-0.75,15.70,15.74,0.25
9,0.3,0.05,0.3,1,77.41,72.60,6.21,178.12,170.33,4.37,0.3446,0.3329,3.40,12.21,12.25,-0.57,15.40,15.43,0.19
10,0.3,0.05,0.7,1,120.58,114.65,4.92,273.76,263.80,3.64,0.4755,0.4686,1.45,12.02,12.27,-2.19,15.53,15.50,-0.18
11,0.3,0.10,0.3,1,67.74,63.41,6.39,157.69,148.32,5.95,0.3140,0.2970,5.40,11.09,11.10,-0.05,16.50,16.49,-0.04
12,0.3,0.10,0.7,1,112.57,112.24,0.29,257.83,256.55,0.50,0.4627,0.4664,-0.80,12.15,12.07,0.91,15.78,15.76,-0.16
13,0.5,0.01,0.3,1,105.13,98.66,6.15,241.72,227.28,5.97,0.4408,0.4306,2.32,7.72,7.66,0.13,25.90,26.08,0.71
14,0.5,0.01,0.7,1,127.61,121.41,4.86,292.83,281.74,3.79,0.4970,0.4867,2.07,7.41,7.56,-2.10,26.20,26.20,-0.02
15,0.5,0.05,0.3,1,73.51,69.44,5.54,169.64,160.60,5.33,0.3389,0.3240,4.37,7.29,7.33,-1.02,26.76,26.86,0.40
16,0.5,0.05,0.7,1,121.85,114.44,6.08,280.84,266.68,5.04,0.4743,0.4640,2.17,7.58,7.68,-1.20,26.30,26.27,-0.12
17,0.5,0.10,0.3,1,62.75,59.62,4.98,146.70,140.27,4.38,0.2917,0.2800,4.03,6.37,6.28,1.49,28.76,28.77,0.00
18,0.5,0.10,0.7,1,117.76,108.79,7.62,270.64,250.78,7.34,0.4686,0.4518,3.58,7.76,7.92,-2.28,25.34,25.35,0.04
